Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.812952;280426;189230;143516;75306;0.557346;102382;
.perlbench-50B.champsimtrace.xz;0.879449;27304;14416;17336;16784;0.11932;18524;
.bzip2-7B.champsimtrace.xz;1.24898;2389626;263;1211704;38778;0.975836;432301;
.bzip2-38B.champsimtrace.xz;1.07515;2385954;94;1239874;44593;0.973917;515018;
.bzip2-226B.champsimtrace.xz;1.03393;3386910;137;1848272;58234;0.975211;559378;
.bzip2-277B.champsimtrace.xz;1.19185;1466841;9;929951;47217;0.961316;338047;
.gcc-16B.champsimtrace.xz;1.17327;9905814;11104;9905885;31875;0.998382;9831343;
.gcc-17B.champsimtrace.xz;0.473886;3240502;1492;2658082;587423;0.817482;1145749;
.gcc-48B.champsimtrace.xz;1.32471;1754281;2;49611;47699;0.265254;62932;
.bwaves-1963B.champsimtrace.xz;0.706342;4034375;0;3672833;3670688;0.0255458;3765982;
