Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Tptal write LLC;
.perlbench-41B.champsimtrace.xz;0.811082;280429;189230;144877;79506;0.536241;106582;
.perlbench-50B.champsimtrace.xz;0.879531;27304;14416;17334;16773;0.121326;18554;
.bzip2-7B.champsimtrace.xz;1.2488;2389578;263;1203838;47818;0.969954;436180;
.bzip2-38B.champsimtrace.xz;1.07492;2385997;94;1239902;44610;0.9739;514663;
.bzip2-226B.champsimtrace.xz;1.02582;3386895;137;1854686;62221;0.97359;563839;
.bzip2-277B.champsimtrace.xz;1.19799;1466825;9;930883;39769;0.967444;330700;
.gcc-16B.champsimtrace.xz;1.17368;9905814;11104;9905999;31216;0.998416;9830799;
.gcc-17B.champsimtrace.xz;0.4745;3240505;1492;2656693;582443;0.818954;1143748;
.gcc-48B.champsimtrace.xz;1.325;1754281;2;49630;47608;0.267344;62975;
.bwaves-1963B.champsimtrace.xz;0.706754;4034346;0;3672807;3670549;0.0255853;3766100;
