Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.813824;280421;189230;143622;74004;0.565625;100568;
.perlbench-50B.champsimtrace.xz;0.87937;27304;14416;17329;16939;0.1117;18611;
.bzip2-7B.champsimtrace.xz;1.22349;2389515;263;1217913;91400;0.943213;481265;
.bzip2-38B.champsimtrace.xz;1.06039;2385608;94;1241135;94224;0.944915;561447;
.bzip2-226B.champsimtrace.xz;1.01705;3386889;137;1859625;99908;0.957681;599801;
.bzip2-277B.champsimtrace.xz;1.17289;1466817;9;931527;104401;0.914607;393312;
.gcc-16B.champsimtrace.xz;1.1705;9905814;11104;9905989;38476;0.998047;9835676;
.gcc-17B.champsimtrace.xz;0.469768;3240475;1492;2658576;629557;0.804415;1166847;
.gcc-48B.champsimtrace.xz;1.32332;1754282;2;49618;48911;0.246874;63448;
.bwaves-1963B.champsimtrace.xz;0.714157;4034313;0;3672813;3636059;0.0347431;3727730;
