Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.815314;280432;189230;144875;69325;0.595624;96445;
.perlbench-50B.champsimtrace.xz;0.879531;27304;14416;17334;16773;0.121326;18554;
.bzip2-7B.champsimtrace.xz;1.25006;2389612;263;1203838;34079;0.978587;422417;
.bzip2-38B.champsimtrace.xz;1.0744;2386024;94;1239902;43011;0.974836;512920;
.bzip2-226B.champsimtrace.xz;1.02921;3386896;137;1854688;62153;0.973619;563607;
.bzip2-277B.champsimtrace.xz;1.19832;1466830;9;930883;39754;0.967457;330685;
.gcc-16B.champsimtrace.xz;1.17369;9905814;11104;9905999;31216;0.998416;9830799;
.gcc-17B.champsimtrace.xz;0.474935;3240507;1492;2656693;581179;0.819347;1140838;
.gcc-48B.champsimtrace.xz;1.32522;1754281;2;49630;47596;0.267528;62963;
.bwaves-1963B.champsimtrace.xz;0.706802;4034370;0;3672808;3670269;0.0256599;3766075;
