Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.815849;280432;189230;144875;68193;0.602227;95312;
.perlbench-50B.champsimtrace.xz;0.879531;27304;14416;17334;16773;0.121326;18554;
.bzip2-7B.champsimtrace.xz;1.25012;2389610;263;1203838;34626;0.978243;422964;
.bzip2-38B.champsimtrace.xz;1.07441;2386026;94;1239903;43067;0.974803;512824;
.bzip2-226B.champsimtrace.xz;1.02988;3386894;137;1854687;61014;0.974102;562415;
.bzip2-277B.champsimtrace.xz;1.19589;1466828;9;930883;48312;0.960451;339117;
.gcc-16B.champsimtrace.xz;1.17369;9905814;11104;9905999;31219;0.998416;9830802;
.gcc-17B.champsimtrace.xz;0.474574;3240505;1492;2656693;594477;0.815213;1139137;
.gcc-48B.champsimtrace.xz;1.32522;1754281;2;49630;47596;0.267528;62963;
.bwaves-1963B.champsimtrace.xz;0.706944;4034337;0;3672808;3670262;0.0256618;3766070;
