Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.815726;280433;189230;144317;68460;0.592972;92865;
.perlbench-50B.champsimtrace.xz;0.879499;27304;14416;17338;16773;0.113618;18382;
.bzip2-7B.champsimtrace.xz;1.24482;2389615;263;1222349;41195;0.973785;390674;
.bzip2-38B.champsimtrace.xz;1.07478;2385968;94;1240252;41257;0.975185;464337;
.bzip2-226B.champsimtrace.xz;1.03064;3386906;137;1848695;59561;0.974096;510342;
.bzip2-277B.champsimtrace.xz;1.19608;1466831;9;930670;45910;0.961501;307941;
.gcc-16B.champsimtrace.xz;1.1717;9905814;11104;9905993;31227;0.998332;8850023;
.gcc-17B.champsimtrace.xz;0.474141;3240498;1492;2659066;582982;0.815717;1082799;
.gcc-48B.champsimtrace.xz;1.3249;1754282;2;49623;47599;0.249925;61449;
.bwaves-1963B.champsimtrace.xz;0.706953;4034366;0;3672766;3670255;0.0231604;3756423;
