Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Tptal write LLC;
.perlbench-41B.champsimtrace.xz;0.815852;280432;189230;144875;68190;0.602245;95309;
.perlbench-50B.champsimtrace.xz;0.879531;27304;14416;17334;16773;0.121326;18554;
.bzip2-7B.champsimtrace.xz;1.25011;2389610;263;1203838;34635;0.978238;422973;
.bzip2-38B.champsimtrace.xz;1.0744;2386025;94;1239903;43090;0.97479;512847;
.bzip2-226B.champsimtrace.xz;1.02988;3386894;137;1854687;61026;0.974097;562425;
.bzip2-277B.champsimtrace.xz;1.19588;1466828;9;930883;48322;0.960443;339127;
.gcc-16B.champsimtrace.xz;1.17369;9905814;11104;9905999;31219;0.998416;9830802;
.gcc-17B.champsimtrace.xz;0.474573;3240505;1492;2656693;594478;0.815213;1139139;
.gcc-48B.champsimtrace.xz;1.32522;1754281;2;49630;47596;0.267528;62963;
.bwaves-1963B.champsimtrace.xz;0.706948;4034337;0;3672808;3670242;0.0256671;3766050;
